konum,fiyat,marka,seri,model,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,motor_hacmi,motor_gucu,cekis,ortalama_yakit_tuketimi,yakit_deposu,tramer,degisen,boyali
 Adana,1150000.0,Renault,Megane,1.5 Blue DCI Icon,2019,314000.0,Yarı Otomatik,Dizel,Sedan,1461.0,115.0,Önden Çekiş,4.2,49.0,0.0,0,0
 Adana,105000.0,Lada,Samara,1.5,1993,163000.0,Düz,LPG & Benzin,Hatchback/5,1499.0,68.0,Önden Çekiş,7.3,45.0,0.0,0,0
 Adana,489000.0,Renault,Megane,1.5 dCi Dynamique,2006,217000.0,Düz,Dizel,Sedan,1461.0,100.0,Önden Çekiş,4.9,60.0,0.0,2,2
 Adana,765000.0,Peugeot,508,1.6 e-HDi Active,2013,194500.0,Yarı Otomatik,Dizel,Sedan,1560.0,117.0,Önden Çekiş,4.0,72.0,0.0,2,2
 Adana,350000.0,Chevrolet,Aveo,1.4 S,2006,217000.0,Düz,LPG & Benzin,Sedan,1399.0,94.0,Önden Çekiş,6.7,45.0,0.0,0,0
 Adana,560000.0,Opel,Insignia,1.6 T Edition Elegance,2010,290000.0,Düz,Benzin,Sedan,1598.0,180.0,Önden Çekiş,7.7,70.0,0.0,1,3
 Adana,565000.0,Honda,Civic,1.6 i-VTEC LS,2006,220000.0,Düz,Benzin,Sedan,1590.0,110.0,Önden Çekiş,6.5,50.0,6500.0,2,2
 Adana,690000.0,Opel,Astra,1.6 Edition Plus,2016,183000.0,Düz,LPG & Benzin,Sedan,1598.0,115.0,Önden Çekiş,6.5,56.0,0.0,0,0
 Adana,335000.0,Hyundai,Accent Era,1.4 Team,2009,390000.0,Düz,Benzin,Sedan,1201.0,76.0,Önden Çekiş,6.5,45.0,2.0,0,9
 Adana,1100000.0,Hyundai,i20,1.4 MPI Style,2018,67000.0,Otomatik,Benzin,Hatchback/5,1368.0,100.0,Önden Çekiş,6.4,50.0,0.0,0,3
 Adana,1140000.0,Audi,A3,A3 Sedan 1.6 TDI Ambiente,2016,307000.0,Yarı Otomatik,Dizel,Sedan,1598.0,110.0,Önden Çekiş,3.9,50.0,0.0,0,1
 Adana,310000.0,Peugeot,107,1.4 HDi Trendy,2008,205000.0,Düz,Dizel,Hatchback/5,1398.0,55.0,Önden Çekiş,4.1,35.0,0.0,0,0
 Adana,760000.0,Volkswagen,Polo,1.0 Trendline,2017,78000.0,Düz,Benzin,Hatchback/5,999.0,75.0,Önden Çekiş,5.1,45.0,0.0,0,0
 Adana,1260000.0,Volkswagen,Golf,1.5 TSi Highline,2019,158000.0,Yarı Otomatik,Benzin,Hatchback/5,1498.0,150.0,Önden Çekiş,5.1,50.0,0.0,0,6
 Adana,480000.0,Ford,Focus,1.6 TDCi Style,2011,272000.0,Düz,Dizel,Sedan,1560.0,115.0,Önden Çekiş,4.2,53.0,0.0,1,12
 Adana,1925000.0,Mercedes - Benz,E,250 CDI Elite,2015,316000.0,Otomatik,Dizel,Sedan,2143.0,204.0,4WD (Sürekli),5.7,59.0,0.0,0,0
 Adana,1250000.0,Renault,Clio,1.0 TCe Evolution,2024,8300.0,Otomatik,Benzin,Hatchback/5,999.0,90.0,Önden Çekiş,6.0,42.0,0.0,0,0
 Adana,395000.0,Fiat,Linea,1.3 Multijet Active Plus,2012,225000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş,4.9,45.0,0.0,1,4
 Adana,785000.0,Honda,Civic,1.6 i-VTEC Elegance,2012,200000.0,Düz,LPG & Benzin,Sedan,1595.0,125.0,Önden Çekiş,6.7,50.0,0.0,0,6
 Adana,680000.0,Ford,Fiesta,1.5 TDCi Titanium,2013,141000.0,Düz,Dizel,Hatchback/5,1498.0,75.0,Önden Çekiş,3.7,42.0,0.0,1,0
 Adana,830000.0,Opel,Astra,1.3 CDTI Sport,2012,138000.0,Düz,Dizel,Hatchback/5,1248.0,95.0,Önden Çekiş,4.1,56.0,0.0,0,0
 Adana,485000.0,Volkswagen,Passat,1.6 FSi Comfortline,2006,312000.0,Düz,LPG & Benzin,Station wagon,1598.0,115.0,Önden Çekiş,7.6,70.0,0.0,2,6
 Adana,315000.0,Seat,Ibiza,1.4 Stella,2004,235000.0,Düz,LPG & Benzin,Hatchback/5,1390.0,75.0,Önden Çekiş,6.4,45.0,0.0,1,3
 Adana,880000.0,Volvo,S60,1.6 D Advance,2014,295000.0,Yarı Otomatik,Dizel,Sedan,1560.0,115.0,Önden Çekiş,4.1,67.0,0.0,3,1
 Adana,1170000.0,Toyota,Corolla,1.6 Life,2018,72000.0,Düz,Benzin,Sedan,1598.0,132.0,Önden Çekiş,6.3,55.0,0.0,0,0
 Adana,230000.0,Citroen,Saxo,1.4 SX,2000,300000.0,Düz,LPG & Benzin,Hatchback/5,1360.0,76.0,Önden Çekiş,6.8,45.0,0.0,0,0
 Adana,285000.0,Ford,Fiesta,1.25 Flair,2000,231000.0,Düz,LPG & Benzin,Hatchback/5,1753.0,60.0,Önden Çekiş,6.1,42.0,0.0,0,0
 Adana,292500.0,Hyundai,Accent,1.5 GLS,2001,253000.0,Düz,LPG & Benzin,Hatchback/5,1495.0,102.0,Önden Çekiş,6.9,45.0,800.0,0,0
 Adana,210000.0,Opel,Corsa,1.4 GLS,1997,288968.0,Düz,LPG & Benzin,Hatchback/5,1389.0,90.0,Önden Çekiş,7.4,42.0,0.0,0,0
 Adana,225000.0,Ford,Fiesta,1.25 Flair,1998,270000.0,Düz,LPG & Benzin,Hatchback/5,1242.0,75.0,Önden Çekiş,7.1,42.0,0.0,0,0
 Adana,650000.0,Volkswagen,Passat,2.0 TDi Highline,2007,270000.0,Düz,Dizel,Sedan,1968.0,140.0,Önden Çekiş,5.8,70.0,0.0,4,6
 Adana,485000.0,Renault,Megane,1.5 dCi Privilege,2008,255500.0,Otomatik,Dizel,Sedan,1461.0,100.0,Önden Çekiş,4.9,60.0,0.0,0,0
 Adana,750000.0,Opel,Astra,1.6 Edition,2015,118000.0,Düz,LPG & Benzin,Sedan,1598.0,115.0,Önden Çekiş,6.5,56.0,38400.0,0,3
 Adana,880000.0,Toyota,Corolla,1.6 Touch,2014,228200.0,Düz,LPG & Benzin,Sedan,1598.0,132.0,Önden Çekiş,6.3,55.0,0.0,0,0
 Adana,190000.0,Hyundai,Accent,1.5 CRDi Admire,2005,247000.0,Düz,Dizel,Sedan,1493.0,82.0,Önden Çekiş,5.5,45.0,0.0,0,0
 Adana,780000.0,Fiat,Egea,1.6 Multijet Lounge,2016,198000.0,Düz,Dizel,Sedan,1598.0,120.0,Önden Çekiş,4.2,45.0,0.0,0,0
 Adana,418000.0,Renault,Clio,1.6 Dynamique,2002,294000.0,Düz,LPG & Benzin,Hatchback/5,1598.0,107.0,Önden Çekiş,7.2,50.0,0.0,0,0
 Adana,565000.0,Renault,Clio,1.5 dCi Joy,2015,124000.0,Düz,Dizel,Hatchback/5,1461.0,75.0,Önden Çekiş,3.6,45.0,0.0,0,5
 Adana,440000.0,Ford,Focus,1.6 Ghia,2004,271000.0,Düz,LPG & Benzin,Hatchback/5,1596.0,100.0,Önden Çekiş,6.8,55.0,0.0,1,4
 Adana,287000.0,Tata,Manza,Aura 1.4 Safire,2012,125000.0,Düz,LPG & Benzin,Sedan,1368.0,90.0,Önden Çekiş,6.4,44.0,0.0,0,2
 Adana,385000.0,Ford,Focus,1.6 Ghia,2003,310000.0,Düz,LPG & Benzin,Sedan,1596.0,100.0,Önden Çekiş,6.8,55.0,0.0,1,7
 Adana,420000.0,Renault,Clio,1.5 dCi Authentique,2008,263000.0,Düz,Dizel,Hatchback/5,1461.0,80.0,Önden Çekiş,4.8,55.0,0.0,2,0
 Adana,980000.0,BMW,1 Serisi,116d ED EfficientDynamics,2014,180000.0,Düz,Dizel,Hatchback/5,1598.0,116.0,Arkadan İtiş,3.8,52.0,0.0,0,0
 Adana,1080000.0,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2013,182500.0,Yarı Otomatik,Dizel,Hatchback/5,1598.0,105.0,Önden Çekiş,3.9,50.0,0.0,0,0
 Adana,510000.0,Peugeot,301,1.6 HDi Active,2014,200000.0,Düz,Dizel,Sedan,1560.0,93.0,Önden Çekiş,4.3,50.0,0.0,0,1
 Adana,420000.0,Ford,C-Max,1.6 Trend,2006,282000.0,Düz,LPG & Benzin,MPV,1596.0,115.0,Önden Çekiş,6.6,55.0,0.0,0,0
 Adana,660000.0,Hyundai,i20,1.2 MPI Jump,2017,225000.0,Düz,LPG & Benzin,Hatchback/5,1248.0,84.0,Önden Çekiş,5.1,50.0,0.0,1,1
 Adana,295000.0,Daihatsu,Cuore,1.0 High Grade,2005,290000.0,Düz,Benzin,Hatchback/5,989.0,58.0,Önden Çekiş,4.4,36.0,0.0,0,0
 Adana,1340000.0,Renault,Megane,1.5 Blue DCI Touch,2021,117500.0,Otomatik,Dizel,Sedan,1401.0,101.0,Önden Çekiş,4.1,49.0,5970.0,0,2
 Adana,257000.0,Peugeot,206,2.0 GTI,2000,245000.0,Düz,Benzin,Hatchback/3,1801.0,126.0,Önden Çekiş,7.9,50.0,0.0,3,3
 Adana,539000.0,Opel,Corsa,1.2 Twinport Essentia,2012,158000.0,Otomatik,Benzin,Hatchback/5,1201.0,76.0,Önden Çekiş,5.1,45.0,3500.0,1,4
 Adana,749000.0,Renault,Megane,1.5 dCi Play,2013,174000.0,Otomatik,Dizel,Hatchback/5,1401.0,101.0,Önden Çekiş,4.4,60.0,0.0,0,0
 Adana,359900.0,Renault,Megane,1.5 dCi Authentique,2006,237000.0,Düz,Dizel,Hatchback/5,1401.0,76.0,Önden Çekiş,4.6,60.0,0.0,2,1
 Adana,619900.0,Opel,Astra,1.4 T Enjoy Plus,2013,204000.0,Düz,Benzin,Hatchback/5,1201.0,126.0,Önden Çekiş,7.0,56.0,0.0,2,2
 Adana,750000.0,Opel,Astra,1.4 T Enjoy Active,2015,159000.0,Düz,Benzin,Hatchback/5,1364.0,140.0,Önden Çekiş,5.9,56.0,0.0,0,1
 Adana,600000.0,Renault,Fluence,1.6 Extreme,2011,157000.0,Düz,Benzin,Sedan,1598.0,110.0,Önden Çekiş,6.5,60.0,3700.0,3,1
 Adana,1080000.0,Renault,Clio,1.0 TCe Touch,2021,20204.0,Otomatik,Benzin,Hatchback/5,1200.0,76.0,Önden Çekiş,5.0,42.0,4357.0,0,0
 Adana,963750.0,Mercedes - Benz,C,C 180 BlueEFFICIENCY Avantgarde,2011,325000.0,Otomatik,Benzin,Sedan,1796.0,156.0,Arkadan İtiş,6.7,67.0,0.0,0,0
 Adana,1295000.0,Renault,Clio,1.0 TCe Techno Esprit Alpine,2024,8300.0,Otomatik,Benzin,Hatchback/5,1200.0,76.0,Önden Çekiş,6.0,42.0,0.0,0,0
 Adana,1445000.0,Renault,Clio,1.0 TCe Techno Esprit Alpine,2025,6050.0,Otomatik,Benzin,Hatchback/5,1200.0,76.0,Önden Çekiş,6.0,42.0,0.0,0,0
 Adana,925000.0,Renault,Clio,1.0 TCe Joy,2022,83000.0,Otomatik,Benzin,Hatchback/5,1200.0,76.0,Önden Çekiş,4.3,42.0,0.0,1,1
 Adana,349999.0,Peugeot,207,1.4 HDi Premium,2006,202000.0,Düz,Dizel,Hatchback/5,1398.0,71.0,Önden Çekiş,4.5,50.0,0.0,1,8
 Adana,525000.0,Peugeot,207,1.4 Envy,2011,82000.0,Otomatik,Benzin,Hatchback/5,1201.0,76.0,Önden Çekiş,6.3,50.0,0.0,1,4
 Adana,1070000.0,Hyundai,i20,1.4 MPI Style,2017,51397.0,Otomatik,Benzin,Hatchback/5,1201.0,76.0,Önden Çekiş,6.4,50.0,0.0,0,0
 Adana,1835000.0,Mercedes - Benz,C,C 200 D Comfort,2017,151000.0,Otomatik,Dizel,Sedan,1598.0,136.0,Arkadan İtiş,4.2,41.0,0.0,0,0
 Adana,195000.0,Fiat,Palio,1.4 EL,2000,345000.0,Düz,Benzin,Hatchback/5,1368.0,77.0,Önden Çekiş,6.1,51.0,0.0,0,0
 Adana,1095000.0,Honda,Civic,1.6 i-VTEC ECO Elegance,2016,230000.0,Otomatik,Benzin,Sedan,1598.0,125.0,Önden Çekiş,6.7,50.0,0.0,0,2
 Adana,459900.0,Honda,Accord,2.4 Executive,2003,322000.0,Otomatik,Benzin,Sedan,2354.0,190.0,Önden Çekiş,9.4,65.0,0.0,0,0
 Adana,517500.0,Ford,Focus,1.6 TDCi Collection,2010,256000.0,Düz,Dizel,Sedan,1560.0,90.0,Önden Çekiş,4.7,55.0,0.0,0,0
 Adana,480000.0,Toyota,Corolla,1.4 Terra,2005,282229.0,Düz,LPG & Benzin,Sedan,1398.0,97.0,Önden Çekiş,6.7,55.0,0.0,0,0
 Adana,1260000.0,Ford,Focus,1.5 Ti-VCT Trend X,2023,56950.0,Düz,Benzin,Sedan,1401.0,101.0,Önden Çekiş,5.8,52.0,0.0,0,0
 Adana,985000.0,Ford,Focus,1.5 TDCi Trend X,2018,229000.0,Otomatik,Dizel,Sedan,1500.0,120.0,Önden Çekiş,4.3,47.0,0.0,0,0
 Adana,1075000.0,Ford,Focus,1.6 TDCi Trend X,2015,109000.0,Düz,Dizel,Sedan,1560.0,95.0,Önden Çekiş,4.5,53.0,0.0,0,0
 Adana,595000.0,Citroen,C5,1.6 HDi Executive,2013,213000.0,Düz,Dizel,Sedan,1560.0,117.0,Önden Çekiş,5.0,71.0,0.0,0,0
 Adana,534500.0,Renault,Symbol,1.5 dCi Joy,2014,268000.0,Düz,Dizel,Sedan,1461.0,75.0,Önden Çekiş,3.9,50.0,0.0,1,0
 Adana,1285000.0,Ford,Focus,1.5 TDCi Titanium,2020,122000.0,Otomatik,Dizel,Sedan,1500.0,120.0,Önden Çekiş,4.3,47.0,110000.0,1,2
 Adana,730000.0,Ford,Fiesta,1.4 TDCi Titanium,2012,95000.0,Düz,Dizel,Hatchback/5,1398.0,70.0,Önden Çekiş,4.2,45.0,0.0,0,0
 Adana,810000.0,Fiat,Egea,1.6 Multijet Easy,2021,171000.0,Düz,Dizel,Sedan,1598.0,130.0,Önden Çekiş,4.3,50.0,0.0,0,1
 Adana,839000.0,Fiat,Egea,1.4 Fire Urban,2023,25000.0,Düz,Benzin,Sedan,1201.0,76.0,Önden Çekiş,6.4,45.0,0.0,2,0
 Adana,545000.0,Dacia,Logan,1.6 MCV Ambiance,2014,155000.0,Düz,Benzin,Station wagon,1200.0,51.0,Önden Çekiş,7.9,50.0,0.0,0,0
 Adana,1550000.0,BMW,5 Serisi,520d Premium,2014,298000.0,Otomatik,Dizel,Sedan,1995.0,190.0,Arkadan İtiş,4.1,70.0,0.0,2,3
 Adana,2150000.0,BMW,5 Serisi,520i Prestige,2017,228000.0,Otomatik,Benzin,Sedan,1401.0,151.0,Arkadan İtiş,6.5,68.0,92000.0,1,0
 Adana,1215000.0,BMW,3 Serisi,316i Modern Line,2012,116000.0,Otomatik,Benzin,Sedan,1401.0,126.0,Arkadan İtiş,5.8,60.0,640.0,0,0
 Adana,965000.0,BMW,1 Serisi,116i Joy Edition,2014,204000.0,Otomatik,Benzin,Hatchback/5,1401.0,126.0,Arkadan İtiş,5.7,52.0,8900.0,0,0
 Adana,975000.0,Audi,A3,A3 Sportback 1.6 TDI Ambition,2014,239000.0,Otomatik,Dizel,Hatchback/5,1401.0,101.0,Önden Çekiş,3.9,50.0,29.0,3,2
 Adana,795000.0,Alfa Romeo,Giulietta,1.6 JTD Progression,2017,144000.0,Otomatik,Dizel,Hatchback/5,1598.0,120.0,Önden Çekiş,3.9,60.0,0.0,0,4
 Adana,555000.0,Opel,Astra,1.6 Enjoy,2010,204000.0,Düz,LPG & Benzin,Hatchback/5,1598.0,115.0,Önden Çekiş,6.3,56.0,0.0,0,1
 Adana,1365000.0,Honda,Civic,1.6 i-VTEC ECO Elegance,2019,104000.0,Yarı Otomatik,Benzin,Sedan,1597.0,125.0,Önden Çekiş,6.3,46.0,0.0,1,1
 Adana,785000.0,Citroen,C-Elysee,1.5 BlueHDi Feel,2022,69000.0,Düz,Dizel,Sedan,1499.0,100.0,Önden Çekiş,3.9,50.0,21042023.0,0,6
 Adana,345000.0,Volkswagen,Jetta,1.6 Primeline,2008,379200.0,Düz,LPG & Benzin,Sedan,1595.0,102.0,Önden Çekiş,7.4,55.0,0.0,0,11
 Adana,469900.0,Hyundai,Accent Blue,1.6 CRDI Biz,2013,350000.0,Otomatik,Dizel,Sedan,1582.0,128.0,Önden Çekiş,5.6,43.0,0.0,0,11
 Adana,629900.0,Ford,Fiesta,1.6 Trend X,2014,156000.0,Yarı Otomatik,LPG & Benzin,Hatchback/5,1596.0,105.0,Önden Çekiş,5.9,42.0,0.0,0,9
 Adana,290000.0,Renault,Clio,1.4 RNA,2001,255000.0,Düz,LPG & Benzin,Sedan,1390.0,75.0,Önden Çekiş,7.1,50.0,0.0,0,10
 Adana,545000.0,Dacia,Logan,1.2 Ambiance,2014,155000.0,Düz,Benzin,Station wagon,1149.0,75.0,Önden Çekiş,6.0,50.0,0.0,0,0
 Adana,335000.0,Volkswagen,Polo,1.6,2000,267000.0,Düz,Benzin,Hatchback/5,1598.0,75.0,Önden Çekiş,6.9,45.0,0.0,0,3
 Adana,545000.0,Volkswagen,Polo,1.6 TDi Comfortline,2013,226000.0,Düz,Dizel,Hatchback/5,1598.0,90.0,Önden Çekiş,4.2,45.0,0.0,2,5
 Adana,395000.0,Smart,ForFour,1.5 CDI Passion,2005,322000.0,Düz,Dizel,Hatchback/5,1493.0,95.0,Önden Çekiş,4.6,47.0,5250.0,0,0
 Adana,675000.0,Renault,Fluence,1.5 dCi Extreme,2011,179000.0,Düz,Dizel,Sedan,1461.0,105.0,Önden Çekiş,4.5,60.0,0.0,0,0
 Adana,235000.0,Opel,Corsa,1.7 DTi Comfort,2003,480000.0,Düz,Dizel,Hatchback/3,1686.0,75.0,Önden Çekiş,4.7,44.0,0.0,0,0
 Adana,455000.0,Nissan,Micra,1.2 Passion,2012,161000.0,Düz,Benzin,Hatchback/5,1198.0,80.0,Önden Çekiş,5.0,41.0,0.0,1,4
 Adana,850000.0,Honda,Civic,1.6 i-VTEC Eco Premium,2012,256000.0,Otomatik,LPG & Benzin,Sedan,1595.0,125.0,Önden Çekiş,6.7,50.0,0.0,0,3
 Adana,398000.0,Fiat,Linea,1.3 Multijet Actual,2013,250000.0,Düz,Dizel,Sedan,1248.0,95.0,Önden Çekiş,4.9,45.0,0.0,0,7
 Adana,665000.0,Volkswagen,Polo,1.4 TDi Trendline,2016,190000.0,Düz,Dizel,Hatchback/5,1422.0,75.0,Önden Çekiş,3.6,45.0,0.0,0,7
 Adana,285000.0,Hyundai,Accent,1.5 GT,2001,250000.0,Düz,Benzin,Hatchback/3,1495.0,99.0,Önden Çekiş,8.1,45.0,0.0,0,0
 Adana,860000.0,Volkswagen,Polo,1.4 TDi Comfortline,2017,205000.0,Yarı Otomatik,Dizel,Hatchback/5,1422.0,90.0,Önden Çekiş,3.5,45.0,0.0,0,2
 Adana,1150000.0,Volvo,S60,1.6 D Premium,2012,164000.0,Yarı Otomatik,Dizel,Sedan,1560.0,115.0,Önden Çekiş,4.3,67.0,0.0,0,0
 Adana,439900.0,Ford,Focus,1.6 Comfort,2011,273000.0,Düz,Benzin,Hatchback/5,1596.0,100.0,Önden Çekiş,6.7,55.0,0.0,0,9
 Adana,535750.0,Skoda,Fabia,1.6 TDI Ambiente,2011,189200.0,Düz,Dizel,Hatchback/5,1598.0,90.0,Önden Çekiş,4.2,45.0,0.0,0,0
 Adana,1110000.0,Renault,Megane,1.3 TCe Joy Comfort,2022,107000.0,Otomatik,Benzin,Sedan,1201.0,126.0,Önden Çekiş,5.3,50.0,0.0,0,3
 Adana,989950.0,Renault,Clio,1.0 TCe Joy,2022,122500.0,Otomatik,Benzin,Hatchback/5,1200.0,76.0,Önden Çekiş,4.3,42.0,0.0,0,0
 Adana,1400000.0,Kia,Cerato,1.6 MPI Elegance,2024,20000.0,Otomatik,Benzin,Sedan,1401.0,126.0,Önden Çekiş,7.3,50.0,0.0,0,0
 Adana,360000.0,Ford,Focus,1.6 Comfort,2002,365000.0,Düz,Benzin,Station wagon,1596.0,100.0,Önden Çekiş,6.8,55.0,0.0,0,0
 Adana,875000.0,Volkswagen,Jetta,1.6 TDi Comfortline,2015,228000.0,Otomatik,Dizel,Sedan,1401.0,101.0,Önden Çekiş,4.5,55.0,0.0,0,0
 Adana,1250000.0,Renault,Talisman,1.6 dCi Touch,2018,226000.0,Otomatik,Dizel,Sedan,1401.0,126.0,Önden Çekiş,3.9,52.0,0.0,0,0
 Adana,870000.0,Opel,Corsa,1.4 Enjoy,2017,86000.0,Otomatik,Benzin,Hatchback/5,1201.0,76.0,Önden Çekiş,6.0,45.0,0.0,0,3
 Adana,790000.0,Opel,Astra,1.4 T Enjoy Active,2014,119000.0,Düz,Benzin,Hatchback/5,1201.0,126.0,Önden Çekiş,5.9,56.0,2.0,0,0
 Adana,965000.0,Ford,Fiesta,1.6 Titanium,2017,104000.0,Otomatik,Benzin,Hatchback/5,1401.0,101.0,Önden Çekiş,5.9,42.0,0.0,0,0
 Adana,1090000.0,Volkswagen,Polo,1.0 TSi Comfortline,2020,71000.0,Otomatik,Benzin,Hatchback/5,1200.0,76.0,Önden Çekiş,4.6,40.0,0.0,0,0
 Adana,1317000.0,Skoda,Octavia,1.6 TDI Optimal,2018,115000.0,Otomatik,Dizel,Hatchback/5,1401.0,101.0,Önden Çekiş,3.8,50.0,5300.0,0,1
 Adana,825000.0,Volkswagen,VW CC,2.0 TDi 2.0 TDI,2012,316000.0,Otomatik,Dizel,Coupe,1801.0,151.0,Önden Çekiş,6.1,70.0,0.0,0,0
 Adana,690000.0,Volkswagen,Jetta,1.6 TDi Comfortline,2011,275000.0,Otomatik,Dizel,Sedan,1401.0,101.0,Önden Çekiş,4.5,55.0,0.0,1,0
 Adana,585000.0,Toyota,Corolla,1.4 D-4D Comfort,2009,249000.0,Otomatik,Dizel,Sedan,1201.0,76.0,Önden Çekiş,4.9,55.0,0.0,2,3
 Adana,890000.0,Audi,A4,A4 Sedan 45 TFSI Quattro S Line,2010,220000.0,Otomatik,Benzin,Sedan,1801.0,201.0,4WD (Sürekli),6.8,58.0,0.0,0,0
 Adana,335000.0,Renault,Megane,1.4 Authentique,2006,173000.0,Düz,Benzin,Hatchback/5,1201.0,76.0,Önden Çekiş,6.7,60.0,0.0,1,8
 Adana,300000.0,Chevrolet,Kalos,1.4 SX,2005,147000.0,Düz,Benzin,Sedan,1201.0,76.0,Önden Çekiş,7.0,45.0,0.0,0,10
 Adana,470000.0,Kia,Picanto,1.1 EX,2006,184000.0,Otomatik,Benzin,Hatchback/5,1200.0,51.0,Önden Çekiş,4.9,35.0,0.0,0,2
 Adana,1875000.0,Volkswagen,Passat,1.6 TDi BlueMotion Impression,2020,30000.0,Otomatik,Dizel,Sedan,1401.0,,-,4.0,59.0,0.0,0,0
 Adana,1840000.0,Mercedes - Benz,C,C 200 D Comfort,2017,151000.0,Otomatik,Dizel,Sedan,1598.0,136.0,Arkadan İtiş,4.2,41.0,0.0,0,0
 Adana,265000.0,Fiat,Brava,1.6 SX,2001,282000.0,Düz,LPG & Benzin,Hatchback/5,1581.0,103.0,Önden Çekiş,7.8,50.0,345.0,0,0
 Adana,280000.0,Renault,Clio,1.4 RXT,2001,345000.0,Düz,LPG & Benzin,Hatchback/5,1390.0,98.0,Önden Çekiş,6.7,50.0,0.0,1,2
 Adana,650000.0,Renault,Fluence,1.5 dCi Touch,2014,267000.0,Düz,Dizel,Sedan,1461.0,90.0,Önden Çekiş,4.5,60.0,0.0,0,0
 Adana,1040000.0,Volkswagen,Golf,1.6 TDi BlueMotion Highline,2015,226000.0,Yarı Otomatik,Dizel,Hatchback/5,1598.0,110.0,Önden Çekiş,3.9,50.0,0.0,0,0
